n_estimators,criterion,max_depth,test_score,train_score,fit_time
44,mae,3,0.8062272225459802,0.8421278817670558,[0.92080522 0.92183089 0.89351702 0.87876081 0.89272785]
44,mae,4,0.8368810880985059,0.8914747856229616,[1.11206579 1.10477066 1.0864141  1.10915995 1.09133101]
44,mae,5,0.8509604126540131,0.9153451042603288,[1.24164605 1.23971319 1.1686008  1.18805289 1.15702105]
45,mse,2,0.7680100888158803,0.8038723619934585,[0.08228588 0.08547521 0.08304811 0.0834651  0.08351421]
45,mse,3,0.8113947804283294,0.8630838245303627,[0.10310888 0.10027003 0.09676003 0.09497404 0.09744406]
45,mse,4,0.8398605208915468,0.8955472263126903,[0.12121606 0.11461186 0.11050797 0.10964918 0.11020899]
45,mse,5,0.8521102498129236,0.9144858931544037,[0.12343979 0.1252048  0.12312293 0.12211609 0.12715697]
45,mae,2,0.7381153324790712,0.7618906050830391,[0.69658804 0.67473102 0.6876049  0.68890405 0.69495106]
45,mae,3,0.8056788791616384,0.8423295855478437,[0.97849393 0.96003604 0.89698315 0.90083194 0.90641713]
45,mae,4,0.8369084404099516,0.8914008001527784,[1.10530496 1.11570501 1.05592108 1.06990004 1.05319786]
45,mae,5,0.8511130079846883,0.915339513929692,[1.26324892 1.24166703 1.19915509 1.20702791 1.19046783]
46,mse,2,0.7674028877772953,0.8041482240495595,[0.08636594 0.0833478  0.08401704 0.08450603 0.08101511]
46,mse,3,0.812068757385842,0.8632735515975586,[0.1006887  0.0953269  0.09656119 0.09729409 0.09596181]
46,mse,4,0.8403447097231537,0.8955380629740297,[0.11431289 0.115659   0.11300302 0.11311221 0.11139297]
46,mse,5,0.8522067501024779,0.9145360097364056,[0.13257909 0.13128304 0.15123606 0.13090301 0.12084699]
46,mae,2,0.7379612127195793,0.7617108743448773,[0.717978   0.71367121 0.71570301 0.68888307 0.68406582]
46,mae,3,0.8062455441552044,0.8425486297296281,[0.95578313 0.95158505 0.97295117 0.97854519 0.91688919]
46,mae,4,0.8372776036918703,0.8914982775776286,[1.16629505 1.17869377 1.13973808 1.10133767 1.07358408]
46,mae,5,0.8512001128226665,0.9153902802766548,[1.31651306 1.29368186 1.24402785 1.27863598 1.23089504]
47,mse,2,0.7672540201167136,0.8040684532234696,[0.08467197 0.08256912 0.08186913 0.08267903 0.08053493]
47,mse,3,0.8121242227107432,0.8632825118343976,[0.10082316 0.09867692 0.09714985 0.09724998 0.10363579]
47,mse,4,0.8403970890676403,0.8955144564518196,[0.118613   0.11518097 0.11946011 0.11648631 0.12560582]
47,mse,5,0.85199331635447,0.9144514796743758,[0.13537216 0.12867808 0.12959504 0.13039327 0.13254714]
47,mae,2,0.737534015836942,0.7612517136010308,[0.72957611 0.72500992 0.70136189 0.70124197 0.68811202]
47,mae,3,0.8063282287192175,0.8423509764167711,[0.96457028 0.97101736 0.93161917 0.92989898 0.91782022]
47,mae,4,0.8373920367144454,0.8914524077686448,[1.16246796 1.15804267 1.12234211 1.12030005 1.09538984]
47,mae,5,0.8514003295376803,0.915356183837146,[1.31597281 1.30392098 1.26091218 1.28189588 1.2523098 ]
48,mse,2,0.7673660267054815,0.8046387913771988,[0.08603597 0.08422709 0.08313799 0.08340716 0.08402586]
48,mse,3,0.812201119830027,0.8634255285172199,[0.10300493 0.10168219 0.09977102 0.10044003 0.10033298]
48,mse,4,0.8403591169342075,0.8957352163068221,[0.11739111 0.11731911 0.11809993 0.11600685 0.11584187]
48,mse,5,0.8522737089926711,0.9146550566115024,[0.13902378 0.13238597 0.13079619 0.13318205 0.12724805]
48,mae,2,0.7377771036256136,0.7611663401217683,[0.73842311 0.73312521 0.72218513 0.70156693 0.70214868]
48,mae,3,0.8068402116406478,0.8425852337869649,[0.97775507 0.97472501 0.95135283 0.94021773 0.9323101 ]
48,mae,4,0.8377017601860984,0.8915627845485921,[1.20150399 1.18507004 1.14337516 1.15680814 1.12821507]
48,mae,5,0.8520937129545658,0.9154696434028778,[1.35033798 1.32957172 1.27340102 1.29871416 1.26241326]
49,mse,2,0.7669654687331899,0.8048001670297905,[0.08796906 0.08902121 0.08636284 0.08487177 0.08796906]
49,mse,3,0.8119969361619818,0.8632365230593806,[0.1054039  0.10291505 0.10170913 0.1013639  0.10115719]
